Member id,No of Calls,Gender (F=1/M=0),income
1,0,0,305335
7,0,0,175512
8,0,1,275580
11,0,1,96302
13,0,1,229042
14,0,1,234019
23,0,1,289817
25,0,1,220070
26,0,1,400588
27,0,0,460211
35,0,0,474378
41,0,1,406417
42,0,1,46819
43,0,1,496823
46,0,0,448482
50,0,1,182648
57,0,1,263209
59,0,1,428819
62,0,1,183845
63,0,0,88140
64,0,0,413333
65,0,0,238894
66,0,1,105155
68,0,1,287014
76,0,1,323389
77,0,1,59726
78,0,1,42525
87,0,0,475484
91,0,0,20537
94,0,0,208165
95,0,1,132000
99,0,0,387060
100,0,0,487040
101,0,1,235760
102,0,0,240548
103,0,1,261124
108,0,1,322735
109,0,1,124642
110,0,0,27010
111,0,0,349644
124,0,1,333160
127,0,1,69638
128,0,0,346929
131,0,1,95500
143,0,0,79644
144,0,0,363041
145,0,1,423270
149,0,1,256342
150,0,1,80660
151,0,1,328251
153,0,1,84481
156,0,0,165067
157,0,1,103514
166,0,0,153512
169,0,0,254259
175,0,0,309735
177,0,0,166538
181,0,0,200932
182,0,0,349511
191,0,0,465731
194,0,0,216760
195,0,0,61402
199,0,0,87002
200,0,1,304717
202,0,0,398796
204,0,1,60739
205,0,0,334945
209,0,1,452130
212,0,1,261592
214,0,0,88213
221,0,0,19465
224,0,1,243249
226,0,1,463767
230,0,0,138252
234,0,0,444523
242,0,0,383407
244,0,0,229506
247,0,1,399152
251,0,1,145182
252,0,1,19403
256,0,0,216064
257,0,0,326850
271,0,1,104765
276,0,1,91075
277,0,1,457181
283,0,0,338463
286,0,1,320957
298,0,0,453807
299,0,1,389449
301,0,1,142381
302,0,0,152189
305,0,1,222058
306,0,0,407777
307,0,1,57027
313,0,1,109271
314,0,1,296786
317,0,1,366842
318,0,1,319443
321,0,0,193415
323,0,1,342705
328,0,1,467698
335,0,0,138588
342,0,0,414210
344,0,1,295610
345,0,1,381648
347,0,0,238743
359,0,1,448550
361,0,1,486899
363,0,1,197040
367,0,1,444075
374,0,0,168414
375,0,0,483931
376,0,0,51374
378,0,1,345699
379,0,1,144215
381,0,0,441161
382,0,0,92230
387,0,1,317362
388,0,1,450656
390,0,0,269174
393,0,0,139597
398,0,0,355687
404,0,0,175297
407,0,0,281007
412,0,0,52098
415,0,0,164982
417,0,0,290092
419,0,1,203725
428,0,1,79813
429,0,1,17211
431,0,0,427870
432,0,1,216835
440,0,1,353583
443,0,0,435233
447,0,0,310377
448,0,0,471795
449,0,1,235936
453,0,0,137557
455,0,0,143346
456,0,1,123664
457,0,1,332194
460,0,1,350763
462,0,0,202140
463,0,1,66653
464,0,1,185655
468,0,0,216020
469,0,0,470613
473,0,1,476355
474,0,1,165191
480,0,0,181927
483,0,1,181126
484,0,1,84546
497,0,1,365988
499,0,1,208154
507,0,1,57279
510,0,0,203752
513,0,0,305402
520,0,0,427068
522,0,1,31668
529,0,1,307961
530,0,1,32783
531,0,0,335370
532,0,0,60158
537,0,1,344814
546,0,1,465468
551,0,0,75201
558,0,0,87793
573,0,1,368350
580,0,0,50327
581,0,1,170335
583,0,0,368903
585,0,1,397176
590,0,1,277082
593,0,0,499871
596,0,0,90359
598,0,0,402965
601,0,0,358756
602,0,0,468670
604,0,0,378303
605,0,0,114132
615,0,0,407739
616,0,1,217762
617,0,0,170842
622,0,0,276418
623,0,0,274863
627,0,1,348765
630,0,1,476768
634,0,0,357139
636,0,0,358816
639,0,0,360754
652,0,1,381955
654,0,0,203842
661,0,0,112788
665,0,0,336684
671,0,1,20399
682,0,0,69938
684,0,0,291529
685,0,1,136353
690,0,1,413418
691,0,1,156663
